user_id,total_orders,avg_days_between_orders
1,11,19.0
2,15,16.285714285714285
3,13,12.0
4,6,17.0
5,5,11.5
6,4,13.333333333333334
7,21,10.45
8,4,23.333333333333332
9,4,22.0
10,6,21.8
11,8,18.714285714285715
12,6,26.0
13,13,7.666666666666667
14,14,21.23076923076923
15,23,10.636363636363637
16,7,19.333333333333332
17,41,8.0
18,7,5.833333333333333
19,10,9.333333333333334
20,5,11.25
21,34,10.454545454545455
22,16,12.733333333333333
23,5,18.5
24,19,14.666666666666666
25,4,30.0
26,13,12.166666666666666
27,82,4.432098765432099
28,25,11.541666666666666
29,19,11.61111111111111
30,9,21.625
31,21,5.55
32,6,22.2
33,4,25.333333333333332
34,6,22.0
35,10,21.333333333333332
36,38,9.54054054054054
37,24,13.521739130434783
38,13,21.75
39,8,11.285714285714286
40,10,12.444444444444445
41,6,26.6
42,17,13.875
43,12,11.818181818181818
44,4,30.0
45,5,15.75
46,20,17.36842105263158
47,6,9.6
48,11,20.9
49,9,24.875
50,68,5.432835820895522
51,4,15.333333333333334
52,28,8.851851851851851
53,4,15.333333333333334
54,78,4.7272727272727275
55,8,19.428571428571427
56,13,7.0
57,15,8.071428571428571
58,16,9.133333333333333
59,11,16.1
60,9,25.5
61,5,22.75
62,11,16.8
63,40,9.23076923076923
64,11,11.7
65,15,14.0
66,7,28.833333333333332
67,25,7.458333333333333
68,7,28.5
69,6,11.2
70,14,19.923076923076923
71,24,14.391304347826088
72,13,16.5
73,8,23.285714285714285
74,6,16.0
75,24,8.73913043478261
76,10,21.11111111111111
77,13,14.666666666666666
78,7,14.833333333333334
79,8,19.857142857142858
80,13,9.333333333333334
81,8,21.0
82,20,11.263157894736842
83,7,20.0
84,9,21.625
85,8,16.428571428571427
86,18,19.41176470588235
87,28,10.222222222222221
88,8,18.285714285714285
89,21,9.2
90,72,3.4507042253521125
91,16,10.066666666666666
92,6,24.0
93,15,12.714285714285714
94,10,16.333333333333332
95,9,21.125
96,17,12.625
97,6,20.4
98,15,21.0
99,19,17.944444444444443
100,6,26.8
101,21,14.55
102,7,25.833333333333332
103,18,12.352941176470589
104,6,17.2
105,8,21.571428571428573
106,4,9.333333333333334
107,16,16.133333333333333
108,8,19.857142857142858
109,7,20.166666666666668
110,21,15.75
111,8,17.714285714285715
112,27,7.923076923076923
113,6,16.2
114,5,6.75
115,13,16.333333333333332
116,7,12.5
117,12,19.454545454545453
118,28,13.296296296296296
119,4,18.333333333333332
120,4,21.333333333333332
121,11,20.5
122,30,8.689655172413794
123,11,20.4
124,9,15.875
125,14,11.76923076923077
126,11,24.1
127,18,13.058823529411764
128,12,16.363636363636363
129,12,9.545454545454545
130,4,24.0
131,10,19.333333333333332
132,25,3.4166666666666665
133,21,6.65
134,7,22.166666666666668
135,5,13.25
136,5,15.75
137,7,22.166666666666668
138,33,11.125
139,5,12.5
140,77,4.802631578947368
141,5,7.75
142,46,7.155555555555556
143,15,8.0
144,8,7.285714285714286
145,9,7.0
146,41,9.075
147,14,17.0
148,8,9.857142857142858
149,16,16.933333333333334
150,32,10.483870967741936
151,12,6.636363636363637
152,66,5.569230769230769
153,20,11.052631578947368
154,36,9.542857142857143
155,23,15.318181818181818
156,4,9.333333333333334
157,5,5.0
158,6,17.4
159,5,24.0
160,13,14.5
161,21,16.65
162,15,5.5
163,12,9.090909090909092
164,11,17.3
165,8,22.285714285714285
166,7,22.833333333333332
167,6,17.4
168,23,8.681818181818182
169,7,19.833333333333332
170,4,30.0
171,7,10.333333333333334
172,7,12.166666666666666
173,45,6.045454545454546
174,28,11.185185185185185
175,24,5.260869565217392
176,7,23.0
177,15,6.571428571428571
178,6,13.8
179,6,19.0
180,7,25.166666666666668
181,11,21.2
182,27,12.5
183,5,15.25
184,12,23.545454545454547
185,7,29.166666666666668
186,8,12.714285714285714
187,33,6.875
188,6,7.0
189,12,14.818181818181818
190,18,14.647058823529411
191,5,4.75
192,6,29.8
193,6,18.4
194,10,16.0
195,59,5.482758620689655
196,4,22.0
197,21,3.6
198,6,14.8
199,4,15.666666666666666
200,10,22.0
201,8,9.857142857142858
202,14,19.307692307692307
203,4,20.0
204,59,6.293103448275862
205,13,14.333333333333334
206,29,12.392857142857142
207,4,24.666666666666668
208,19,9.666666666666666
209,20,12.68421052631579
210,100,3.3333333333333335
211,5,7.25
212,13,14.833333333333334
213,6,17.0
214,28,11.666666666666666
215,6,26.2
216,18,14.705882352941176
217,12,18.727272727272727
218,7,14.333333333333334
219,34,10.272727272727273
220,17,18.1875
221,24,11.608695652173912
222,71,5.214285714285714
223,50,7.428571428571429
224,4,17.666666666666668
225,12,15.454545454545455
226,22,14.19047619047619
227,32,8.741935483870968
228,5,8.0
229,18,13.764705882352942
230,11,21.3
231,4,15.666666666666666
232,37,7.833333333333333
233,26,8.4
234,43,8.69047619047619
235,22,11.380952380952381
236,46,5.933333333333334
237,9,8.625
238,7,14.833333333333334
239,6,19.4
240,6,23.0
241,15,11.928571428571429
242,17,12.375
243,28,12.25925925925926
244,8,15.142857142857142
245,6,28.0
246,6,13.6
247,6,21.8
248,59,6.172413793103448
249,10,7.111111111111111
250,12,18.454545454545453
251,11,15.5
252,5,26.0
253,4,12.0
254,12,4.454545454545454
255,5,19.25
256,19,18.11111111111111
257,21,4.5
258,25,8.708333333333334
259,4,13.0
260,18,10.588235294117647
261,9,3.75
262,46,7.288888888888889
263,4,8.666666666666666
264,30,11.482758620689655
265,8,17.571428571428573
266,6,13.4
267,10,23.666666666666668
268,10,22.11111111111111
269,4,30.0
270,23,12.227272727272727
271,16,19.0
272,10,15.11111111111111
273,20,14.421052631578947
274,15,18.714285714285715
275,15,11.071428571428571
276,10,15.11111111111111
277,4,12.666666666666666
278,69,2.838235294117647
279,15,19.0
280,42,8.609756097560975
281,31,9.733333333333333
282,4,18.0
283,6,20.6
284,17,18.5
285,5,21.75
286,4,12.666666666666666
287,15,5.928571428571429
288,4,26.666666666666668
289,50,7.020408163265306
290,52,7.137254901960785
291,5,12.75
292,9,20.375
293,9,20.625
294,16,12.8
295,24,5.391304347826087
296,7,6.333333333333333
297,12,23.727272727272727
298,4,18.333333333333332
299,10,19.0
300,39,6.157894736842105
301,19,13.444444444444445
302,11,12.7
303,9,14.375
304,43,8.071428571428571
305,5,30.0
306,25,14.208333333333334
307,35,10.617647058823529
308,4,11.666666666666666
309,26,1.0
310,100,3.3333333333333335
311,16,8.8
312,5,19.25
313,100,1.7272727272727273
314,6,25.8
315,5,14.75
316,22,11.095238095238095
317,5,14.75
318,8,15.571428571428571
319,9,3.875
320,6,15.0
321,34,11.030303030303031
322,15,17.928571428571427
323,72,2.4507042253521125
324,12,18.363636363636363
325,8,17.285714285714285
326,6,14.4
327,64,5.507936507936508
328,13,15.583333333333334
329,9,18.375
330,8,25.142857142857142
331,9,25.375
332,13,8.916666666666666
333,9,19.5
334,64,5.666666666666667
335,7,17.0
336,12,4.363636363636363
337,13,21.333333333333332
338,6,26.2
339,4,13.666666666666666
340,6,10.0
341,12,17.454545454545453
342,17,17.4375
343,5,25.0
344,10,16.0
345,4,26.333333333333332
346,7,24.333333333333332
347,4,9.666666666666666
348,29,10.857142857142858
349,8,14.285714285714286
350,15,8.0
351,15,13.285714285714286
352,11,22.8
353,12,14.909090909090908
354,6,25.2
355,14,16.0
356,4,16.0
357,9,13.0
358,8,24.714285714285715
359,16,17.733333333333334
360,4,3.6666666666666665
361,7,15.666666666666666
362,12,10.818181818181818
363,13,9.916666666666666
364,19,14.277777777777779
365,16,9.866666666666667
366,4,12.666666666666666
367,5,23.25
368,5,21.5
369,17,15.5
370,28,9.703703703703704
371,4,18.333333333333332
372,13,21.25
373,59,6.137931034482759
374,17,19.5
375,8,20.142857142857142
376,9,20.375
377,4,21.0
378,9,23.875
379,20,10.578947368421053
380,13,14.25
381,17,13.9375
382,30,10.413793103448276
383,10,19.88888888888889
384,10,19.555555555555557
385,5,28.75
386,5,20.5
387,9,11.5
388,11,23.9
389,13,12.5
390,23,13.772727272727273
391,24,7.6521739130434785
392,7,16.666666666666668
393,11,19.2
394,6,27.0
395,4,20.666666666666668
396,19,15.166666666666666
397,4,4.666666666666667
398,54,6.830188679245283
399,4,12.666666666666666
400,6,27.0
401,5,14.5
402,5,13.5
403,33,11.0625
404,7,13.5
405,6,22.4
406,5,17.0
407,5,16.75
408,5,28.0
409,87,4.22093023255814
410,29,6.142857142857143
411,12,19.818181818181817
